seed=1, k=140, bands=14, rows=10, threshold=0.5, time=61.36s, matches=16
seed=5, k=140, bands=14, rows=10, threshold=0.5, time=61.72s, matches=39
seed=42, k=140, bands=14, rows=10, threshold=0.5, time=60.96s, matches=22
seed=112, k=140, bands=14, rows=10, threshold=0.5, time=61.30s, matches=19
seed=1011, k=140, bands=14, rows=10, threshold=0.5, time=60.12s, matches=10
seed=1, k=140, bands=20, rows=7, threshold=0.5, time=264.55s, matches=191
seed=5, k=140, bands=20, rows=7, threshold=0.5, time=267.07s, matches=352
seed=42, k=140, bands=20, rows=7, threshold=0.5, time=230.90s, matches=210
seed=112, k=140, bands=20, rows=7, threshold=0.5, time=211.53s, matches=186
seed=1011, k=140, bands=20, rows=7, threshold=0.5, time=234.98s, matches=144
seed=1, k=160, bands=10, rows=16, threshold=0.5, time=65.64s, matches=0
seed=5, k=160, bands=10, rows=16, threshold=0.5, time=65.82s, matches=0
seed=42, k=160, bands=10, rows=16, threshold=0.5, time=66.81s, matches=0
seed=112, k=160, bands=10, rows=16, threshold=0.5, time=65.42s, matches=1
seed=1011, k=160, bands=10, rows=16, threshold=0.5, time=65.21s, matches=0
seed=1, k=160, bands=16, rows=10, threshold=0.5, time=70.93s, matches=27
seed=5, k=160, bands=16, rows=10, threshold=0.5, time=69.22s, matches=44
seed=42, k=160, bands=16, rows=10, threshold=0.5, time=70.33s, matches=26
seed=112, k=160, bands=16, rows=10, threshold=0.5, time=71.64s, matches=21
seed=1011, k=160, bands=16, rows=10, threshold=0.5, time=69.13s, matches=11
seed=1, k=160, bands=20, rows=8, threshold=0.5, time=109.63s, matches=125
seed=5, k=160, bands=20, rows=8, threshold=0.5, time=138.95s, matches=228
seed=42, k=160, bands=20, rows=8, threshold=0.5, time=108.25s, matches=96
seed=112, k=160, bands=20, rows=8, threshold=0.5, time=93.59s, matches=79
seed=1011, k=160, bands=20, rows=8, threshold=0.5, time=107.81s, matches=52
